Destination,Month,Duration,Age,Gender,Accomodation Style,Budget
Hoi An,April,5,33,Male,Eco-Lodge,15862.04
Phuket,April,14,26,Female,Hostel,33562.36
Edinburgh,February,17,65,Male,Airbnb,34880.93
Reykjavik,December,8,64,Male,Resort,19704.68
Auckland,June,15,19,Male,Eco-Lodge,24680.52
Cancun,July,12,57,Female,Resort,45204.34
Vancouver,March,16,55,Male,Resort,25992.46
Amsterdam,November,17,45,Female,Vacation Rental,2192.55
Dublin,October,12,64,Male,Hostel,18119.68
Luxembourg City,February,15,57,Male,Hostel,9100.63
Phuket,October,6,18,Male,Resort,15681.49
Kathmandu,October,6,29,Male,Hostel,5904.88
Cairo,May,10,50,Male,Airbnb,13513.78
Reykjavik,June,8,46,Female,Hostel,28074.74
Seoul,November,18,54,Male,Airbnb,20207.14
Cancun,June,16,18,Male,Resort,14140.31
Dubai,October,12,23,Female,Hotel,29743.87
Tokyo,October,10,35,Female,Vacation Rental,36451.64
Cancun,December,18,58,Male,Airbnb,22926.9
Luxembourg City,July,12,49,Male,Vacation Rental,22387.94
Marrakech,April,8,31,Female,Airbnb,12490.34
Reykjavik,August,11,29,Male,Villa,47810.89
Cairo,November,11,52,Male,Airbnb,27856.9
Paris,February,18,28,Male,Hotel,11868.8
Bali,December,6,54,Male,Eco-Lodge,31536.41
Amsterdam,November,15,54,Male,Resort,33159.32
Luxembourg City,April,8,18,Female,Airbnb,48365.32
Bali,January,11,20,Male,Hotel,44672.34
Luxembourg City,February,14,23,Female,Airbnb,26835.26
Honolulu,July,17,62,Male,Hotel,30673.17
Dublin,February,15,19,Male,Hotel,19211.99
New York,December,14,37,Female,Villa,44782.47
Cartagena,June,16,50,Female,Villa,12129.98
Santorini,December,14,65,Male,Airbnb,20525.06
Tokyo,November,10,36,Male,Hotel,44253.43
Dublin,December,12,42,Female,Villa,29077.68
New York,December,7,33,Male,Hotel,16241.29
Phuket,December,17,65,Male,Resort,24203.68
Cairo,January,6,55,Male,Eco-Lodge,39299.68
Tokyo,October,8,18,Female,Resort,37728.77
Berlin,August,17,23,Female,Resort,41178.61
Salzburg,December,12,62,Female,Vacation Rental,6412.71
Phuket,June,7,30,Male,Airbnb,32669.69
Reykjavik,October,8,61,Male,Eco-Lodge,10186.04
Porto,January,15,30,Male,Vacation Rental,45568.62
Paris,May,13,57,Male,Airbnb,36699.85
Hoi An,December,10,53,Male,Villa,6250.9
Seoul,January,7,55,Female,Villa,47342.65
Copenhagen,September,15,36,Female,Eco-Lodge,8090.16
Amsterdam,November,9,49,Male,Airbnb,9361.19
Seoul,December,8,63,Male,Airbnb,16806.88
London,March,18,44,Female,Hostel,24414.66
Rome,April,11,44,Male,Hostel,17841.39
Salzburg,December,14,23,Male,Villa,7056.82
Santorini,September,6,33,Male,Eco-Lodge,28462.9
Dublin,September,15,29,Female,Resort,30297.21
Cartagena,May,13,32,Male,Hostel,35809.73
Berlin,April,17,39,Female,Hostel,43949.56
Cartagena,October,6,41,Male,Hotel,3791.29
Cartagena,June,11,26,Female,Villa,10305.19
Honolulu,September,13,26,Male,Villa,8824.09
Cartagena,February,18,26,Female,Vacation Rental,9723.95
Amsterdam,February,13,63,Female,Resort,7232.02
Rio de Janeiro,December,5,59,Female,Airbnb,24530.11
Paris,August,12,48,Male,Airbnb,36942.57
Cancun,December,13,28,Male,Resort,11873.53
Cairo,September,10,47,Male,Eco-Lodge,9250.13
Tokyo,September,12,51,Female,Hostel,34772.94
Santorini,January,9,49,Female,Eco-Lodge,20419.35
Marrakech,December,12,38,Male,Villa,38470.7
Rome,February,10,26,Female,Hostel,29729.71
Cancun,November,12,38,Male,Resort,3756.69
Rome,September,18,22,Female,Vacation Rental,18730.06
Dubai,February,5,47,Female,Eco-Lodge,20742.97
Kathmandu,June,10,29,Male,Vacation Rental,43787.42
Barcelona,November,11,41,Female,Hostel,13490.45
Vancouver,March,7,24,Male,Vacation Rental,33942.83
Cartagena,March,6,24,Female,Eco-Lodge,18111.81
Cancun,December,9,36,Female,Resort,34024.63
Tokyo,March,5,31,Female,Villa,32968.46
Reykjavik,November,11,54,Female,Airbnb,6426.16
New York,April,18,57,Female,Hotel,44779.9
Honolulu,February,15,29,Female,Vacation Rental,28677.97
Tokyo,February,8,52,Female,Hostel,35085.77
Phuket,September,10,31,Female,Hotel,2072.96
Santorini,October,6,49,Female,Villa,40486.18
Luxembourg City,December,7,48,Male,Resort,33280.57
Sydney,November,16,54,Female,Hostel,36798.65
Bali,December,5,56,Male,Hotel,6694.12
Santorini,January,12,51,Female,Resort,12118.88
New York,December,7,37,Female,Hostel,12009.53
Seoul,December,5,47,Female,Vacation Rental,5027.49
Kathmandu,May,5,19,Female,Airbnb,44380.75
Berlin,December,12,30,Female,Villa,20993.44
Hoi An,July,7,56,Female,Villa,27107.16
Dubai,November,16,59,Female,Vacation Rental,43342.04
Porto,December,18,64,Female,Eco-Lodge,28942.32
Hoi An,September,12,63,Male,Eco-Lodge,25477.05
Auckland,September,6,38,Male,Resort,22648.93
London,March,18,60,Female,Villa,48003.27
Rome,June,6,20,Male,Eco-Lodge,48914.91
Bali,December,18,36,Female,Vacation Rental,49122.22
Rio de Janeiro,July,11,19,Female,Hostel,46502.09
Santorini,November,11,30,Male,Hotel,6301.46
Santorini,January,6,18,Female,Eco-Lodge,42939.72
Dubai,December,13,34,Female,Hotel,34677.19
Barcelona,October,12,20,Male,Eco-Lodge,5174.01
Luxembourg City,June,6,33,Female,Hostel,41095.52
Sydney,February,9,49,Male,Hostel,11813.99
Porto,March,12,19,Male,Vacation Rental,6484.86
Kathmandu,September,15,46,Female,Airbnb,18887.96
Hoi An,June,6,49,Female,Vacation Rental,35286.47
Cancun,May,7,62,Female,Eco-Lodge,3106.15
Sydney,July,13,27,Male,Resort,8420.15
Cancun,October,8,47,Female,Villa,12978.48
Edinburgh,March,12,43,Male,Resort,37016.56
Kathmandu,February,6,64,Female,Airbnb,5414.54
Amsterdam,January,18,20,Male,Airbnb,47177.45
Luxembourg City,February,18,27,Female,Resort,19356.49
London,March,17,44,Female,Eco-Lodge,19613.33
Phuket,June,16,32,Male,Vacation Rental,40129.07
Luxembourg City,October,11,28,Female,Airbnb,8849.48
Rome,November,15,58,Male,Resort,7183.28
Kathmandu,June,14,60,Male,Vacation Rental,20779.57
Berlin,March,15,30,Male,Hostel,37158.54
Salzburg,October,8,28,Male,Resort,11860.96
Barcelona,January,14,34,Female,Hostel,35652.57
Cairo,January,15,40,Male,Resort,26817.29
Vancouver,November,8,22,Female,Villa,13457.7
Dubai,December,5,62,Male,Villa,1660.89
Hoi An,May,7,33,Male,Eco-Lodge,13375.02
Sydney,June,9,45,Female,Resort,42839.74
Porto,May,10,59,Male,Vacation Rental,26170.99
Berlin,November,12,19,Female,Airbnb,1853.76
Dublin,December,17,57,Female,Eco-Lodge,26404.2
Cancun,February,8,21,Female,Hotel,28553.46
Luxembourg City,May,8,61,Female,Hostel,36537.7
Bali,September,6,59,Male,Villa,1758.03
Phuket,January,9,41,Female,Vacation Rental,46967.19
Porto,March,13,53,Male,Hostel,16580.53
Honolulu,May,13,26,Female,Eco-Lodge,18352.26
Rio de Janeiro,July,16,61,Male,Hotel,43612.49
Rome,August,13,33,Female,Eco-Lodge,5045.13
Porto,August,9,40,Female,Resort,29478.06
London,August,18,34,Female,Villa,41026.49
Hoi An,December,7,52,Male,Hotel,29397.69
Luxembourg City,June,8,37,Male,Vacation Rental,33506.53
Santorini,October,15,29,Male,Villa,13768.3
Kathmandu,December,7,39,Female,Eco-Lodge,10408.3
Bali,April,13,42,Female,Eco-Lodge,35453.84
Rome,January,13,42,Male,Hostel,42605.85
Luxembourg City,April,14,43,Female,Airbnb,14403.77
Marrakech,September,18,34,Female,Vacation Rental,38254.18
Cartagena,December,9,55,Female,Vacation Rental,30748.62
Cairo,November,9,19,Female,Airbnb,30388.37
Cancun,January,16,57,Male,Airbnb,38183.38
Sydney,June,16,38,Male,Hotel,36801.67
Hoi An,December,7,26,Female,Hotel,40283.36
Cartagena,April,14,57,Male,Vacation Rental,26219.98
Sydney,May,10,61,Male,Airbnb,30329.95
Hoi An,April,18,22,Female,Resort,34242.83
Dublin,November,6,53,Female,Vacation Rental,34986.45
Santorini,December,14,60,Female,Eco-Lodge,11983.16
Salzburg,May,11,62,Female,Airbnb,23403.78
Amsterdam,April,17,55,Female,Hotel,14908.94
Dublin,August,15,55,Male,Eco-Lodge,44455.83
Edinburgh,November,16,65,Male,Resort,28397.98
Barcelona,June,10,43,Male,Vacation Rental,9249.88
Luxembourg City,August,7,50,Male,Vacation Rental,36882.56
Salzburg,March,9,63,Female,Hostel,45686.05
Dublin,November,6,52,Male,Hostel,16398.52
Cancun,April,9,49,Male,Resort,5642.8
Marrakech,September,14,46,Male,Airbnb,38036.15
Salzburg,March,10,58,Male,Airbnb,4370.53
Cartagena,May,13,63,Female,Eco-Lodge,47005.01
Rio de Janeiro,April,8,23,Female,Villa,4069.05
Cancun,July,6,22,Male,Hotel,35824.73
Vancouver,September,18,19,Female,Vacation Rental,7652.46
Luxembourg City,February,18,42,Female,Hostel,13530.61
Hoi An,April,9,18,Female,Hostel,34252.89
Cartagena,April,5,56,Male,Eco-Lodge,28277.12
Amsterdam,February,11,36,Male,Vacation Rental,5738.61
Porto,December,9,44,Male,Resort,22832.42
Seoul,September,16,27,Female,Hotel,24108.98
Vancouver,June,10,36,Male,Eco-Lodge,10849.17
Dubai,August,6,31,Female,Hostel,6527.36
Honolulu,February,14,50,Female,Vacation Rental,30607.03
Reykjavik,March,12,59,Female,Hotel,44983.43
Sydney,February,9,30,Male,Vacation Rental,42070.27
Dublin,October,9,53,Male,Resort,8555.34
Bali,October,16,20,Female,Airbnb,16526.41
Dublin,January,12,26,Female,Vacation Rental,18255.5
Dublin,July,10,24,Female,Eco-Lodge,10737.36
Cancun,June,17,24,Female,Hotel,12410.33
Sydney,December,18,24,Female,Vacation Rental,32280.31
Bali,September,5,33,Male,Hotel,11797.03
Tokyo,February,15,26,Male,Hostel,48335.97
Honolulu,October,7,62,Male,Vacation Rental,23067.89
Cartagena,March,9,33,Female,Hostel,31503.91
Dubai,April,12,25,Male,Airbnb,35676.51
Amsterdam,March,5,46,Female,Resort,4384.36
Rio de Janeiro,August,11,56,Male,Villa,5731.37
Vancouver,April,16,28,Male,Eco-Lodge,46853.25
Sydney,July,10,58,Female,Hotel,29091.8
Dubai,September,6,60,Female,Hotel,42815.55
Cairo,September,9,30,Male,Hostel,18568.28
Kathmandu,March,11,51,Female,Villa,11262.68
Rio de Janeiro,April,16,54,Female,Vacation Rental,29268.78
Paris,June,14,24,Male,Vacation Rental,44404.15
Seoul,August,12,55,Male,Airbnb,48286.87
Barcelona,March,18,35,Male,Villa,12119.46
Edinburgh,October,8,21,Female,Hotel,20727.1
Seoul,September,18,38,Male,Airbnb,3526.08
Cancun,December,16,48,Female,Eco-Lodge,44274.4
Cartagena,October,13,48,Male,Hostel,27131.95
Sydney,December,8,33,Male,Resort,11093.73
Luxembourg City,October,5,21,Female,Hotel,37743.91
Bali,March,8,54,Female,Vacation Rental,22727.05
Phuket,December,11,53,Female,Hotel,5957.93
Dublin,October,17,45,Female,Hotel,2600.41
Amsterdam,December,11,19,Male,Villa,20637.19
Salzburg,October,6,40,Male,Airbnb,36170.2
Cairo,March,18,58,Male,Vacation Rental,21787.63
Copenhagen,October,16,45,Female,Hostel,27745.02
Honolulu,August,7,24,Female,Vacation Rental,4912.92
Berlin,July,16,63,Female,Eco-Lodge,47666.32
Luxembourg City,June,5,21,Female,Hotel,10188.26
Rio de Janeiro,August,13,28,Female,Hotel,7643.54
Reykjavik,February,6,44,Male,Villa,33152.3
Sydney,June,10,62,Female,Vacation Rental,6116.35
Berlin,August,12,63,Female,Vacation Rental,13003.65
Cape Town,April,18,58,Male,Hostel,30070.49
Hoi An,September,15,54,Male,Villa,43769.58
Salzburg,March,12,59,Female,Resort,12056.92
Edinburgh,September,8,58,Male,Hostel,33925.63
Sydney,July,15,60,Male,Hotel,40581.69
Edinburgh,December,8,54,Female,Vacation Rental,9526.49
Edinburgh,October,5,25,Male,Vacation Rental,16685.64
Salzburg,December,10,65,Male,Hotel,12876.51
Kathmandu,August,15,22,Female,Airbnb,20396.0
Dublin,August,5,20,Male,Hotel,12243.24
Edinburgh,September,16,38,Male,Hostel,41609.85
Porto,October,15,36,Male,Hostel,13394.03
Tokyo,May,10,63,Female,Hostel,27894.48
Copenhagen,March,7,36,Male,Vacation Rental,28073.51
Dubai,October,8,22,Female,Hostel,41827.18
Tokyo,November,11,40,Male,Resort,12336.87
Hoi An,April,15,45,Female,Hostel,41201.76
London,January,15,20,Male,Hostel,18318.1
London,August,9,32,Female,Hostel,18216.24
Barcelona,February,16,36,Female,Hotel,8776.26
Phuket,November,7,61,Male,Eco-Lodge,5040.48
Copenhagen,December,9,60,Male,Vacation Rental,22006.22
New York,October,6,56,Male,Vacation Rental,45178.24
Salzburg,January,15,21,Female,Hotel,24052.86
Copenhagen,March,16,20,Male,Vacation Rental,5541.5
Paris,January,7,25,Male,Villa,19689.74
Auckland,September,11,28,Male,Hostel,16503.21
Marrakech,April,5,60,Male,Hotel,4745.4
Auckland,November,11,30,Male,Eco-Lodge,5626.66
Dubai,January,9,19,Female,Hotel,28783.8
Santorini,May,10,62,Female,Vacation Rental,49665.61
Barcelona,March,17,52,Male,Resort,48398.56
Rome,November,13,61,Male,Hotel,36338.05
Reykjavik,February,9,29,Female,Resort,41578.82
Copenhagen,September,18,46,Male,Eco-Lodge,15382.14
Bali,February,11,57,Male,Eco-Lodge,19951.6
Auckland,July,9,63,Male,Hotel,22979.01
Bali,July,18,28,Female,Vacation Rental,30624.33
Honolulu,December,11,19,Female,Airbnb,41769.44
Dubai,October,17,40,Female,Vacation Rental,30331.72
Phuket,January,9,32,Male,Villa,8708.47
Phuket,July,9,60,Male,Airbnb,7288.66
Santorini,March,18,27,Female,Eco-Lodge,48845.43
Paris,July,16,53,Male,Hotel,21931.97
Hoi An,April,8,43,Female,Eco-Lodge,2034.3
Vancouver,January,13,29,Female,Hotel,43950.79
Vancouver,July,7,41,Female,Vacation Rental,3056.98
Bali,July,14,18,Female,Vacation Rental,37555.54
New York,September,18,19,Male,Airbnb,24013.66
Cairo,January,12,54,Female,Airbnb,10562.58
London,October,10,36,Male,Hostel,30155.93
Cairo,September,16,29,Male,Vacation Rental,41927.63
Phuket,December,18,65,Male,Vacation Rental,36109.35
Rio de Janeiro,December,7,59,Male,Vacation Rental,24563.15
Bali,January,13,58,Male,Airbnb,18387.92
Cairo,November,17,41,Male,Resort,32638.81
Bali,March,13,29,Male,Eco-Lodge,5392.68
Cancun,May,15,24,Female,Hostel,31665.04
Cape Town,July,7,52,Female,Resort,8691.09
Barcelona,February,12,47,Female,Hostel,46690.66
Cancun,January,16,48,Female,Hostel,22794.06
Cairo,October,5,47,Male,Vacation Rental,7086.15
Hoi An,October,12,35,Female,Villa,22233.45
Bali,September,16,45,Female,Hotel,38437.95
Cartagena,August,7,34,Female,Hotel,5381.01
Berlin,June,9,36,Female,Airbnb,11974.33
Auckland,November,11,50,Female,Vacation Rental,28453.31
Berlin,January,7,35,Female,Hotel,48319.28
Rio de Janeiro,January,16,48,Male,Airbnb,16732.87
Dubai,October,14,44,Male,Airbnb,28807.67
Rio de Janeiro,October,12,32,Male,Vacation Rental,1867.26
Cartagena,March,13,40,Female,Villa,13879.14
Honolulu,April,15,39,Male,Hostel,37985.93
Barcelona,December,17,36,Male,Vacation Rental,48648.98
Bali,October,12,56,Male,Villa,2509.72
Rio de Janeiro,November,16,52,Female,Airbnb,10640.88
Porto,June,7,34,Female,Hostel,16475.46
Marrakech,November,18,61,Male,Villa,26360.09
Honolulu,July,5,45,Male,Hotel,22739.48
Amsterdam,April,16,54,Female,Airbnb,36280.61
Sydney,February,5,47,Male,Hotel,22017.07
Copenhagen,November,11,38,Male,Eco-Lodge,36244.52
Copenhagen,June,14,33,Male,Villa,26537.0
Rome,February,13,46,Female,Villa,7473.38
Seoul,May,14,27,Female,Villa,14751.84
Porto,June,10,27,Female,Hotel,44958.16
Paris,December,14,55,Male,Hostel,47179.36
Santorini,April,15,29,Male,Hostel,22396.66
Salzburg,March,12,64,Male,Eco-Lodge,32351.26
Berlin,April,11,31,Male,Resort,45485.1
Reykjavik,August,15,50,Male,Eco-Lodge,1420.15
Rio de Janeiro,January,8,53,Female,Villa,3598.86
Bali,May,15,38,Male,Eco-Lodge,2023.37
Tokyo,February,7,37,Male,Resort,45467.45
Phuket,November,10,59,Female,Resort,48621.71
Rio de Janeiro,August,13,62,Male,Resort,33948.95
Amsterdam,May,6,48,Male,Vacation Rental,49674.25
Dubai,June,9,21,Female,Airbnb,8307.26
Auckland,March,17,20,Female,Vacation Rental,5937.1
Amsterdam,June,9,29,Female,Villa,17156.27
Rio de Janeiro,March,14,55,Female,Hotel,34480.2
Amsterdam,November,9,64,Female,Villa,25465.23
Sydney,June,8,53,Female,Airbnb,18588.71
Sydney,August,9,24,Male,Airbnb,12455.19
Tokyo,December,9,57,Female,Resort,4825.35
Paris,September,10,41,Male,Hotel,40604.35
Cartagena,March,13,19,Female,Eco-Lodge,25423.79
Vancouver,November,5,49,Female,Eco-Lodge,5820.71
Kathmandu,October,18,52,Male,Eco-Lodge,46315.8
Phuket,May,12,31,Male,Hostel,38378.31
Dubai,September,14,35,Female,Villa,23772.07
Amsterdam,September,15,46,Male,Hotel,35464.49
Amsterdam,December,13,62,Male,Resort,15535.9
Dubai,January,16,24,Male,Hotel,26343.63
Copenhagen,December,16,34,Female,Villa,14419.99
Honolulu,December,14,58,Male,Vacation Rental,46887.56
Kathmandu,August,6,59,Female,Airbnb,16399.09
Hoi An,March,15,53,Male,Hotel,31721.4
London,December,6,26,Male,Vacation Rental,48169.77
Rome,March,15,51,Female,Hostel,35313.15
Paris,March,8,64,Male,Villa,5374.59
Amsterdam,February,16,39,Female,Airbnb,40919.26
Tokyo,October,13,34,Male,Villa,26127.09
Dubai,May,13,22,Female,Resort,11869.23
Berlin,September,10,57,Female,Airbnb,8030.72
Vancouver,July,17,29,Female,Hostel,2479.74
Hoi An,September,15,28,Male,Hostel,5865.25
Berlin,July,12,61,Male,Hotel,34341.26
Dublin,May,13,38,Female,Vacation Rental,39634.14
Copenhagen,October,5,40,Female,Eco-Lodge,47877.87
Porto,May,9,23,Female,Vacation Rental,22066.03
Rio de Janeiro,September,7,43,Female,Resort,44564.62
Marrakech,August,14,50,Male,Hostel,26312.29
Auckland,September,5,40,Female,Resort,7297.55
Dubai,September,16,50,Female,Resort,12525.89
Luxembourg City,June,8,49,Male,Resort,41125.06
Salzburg,March,13,58,Male,Hotel,4367.19
Porto,February,14,37,Female,Eco-Lodge,21561.7
Santorini,September,10,46,Female,Airbnb,11001.87
Rome,October,15,43,Male,Villa,36254.54
Cairo,September,18,24,Male,Hotel,34939.31
New York,February,8,44,Female,Eco-Lodge,13084.86
Reykjavik,June,10,22,Male,Eco-Lodge,12498.07
Edinburgh,June,14,55,Female,Vacation Rental,25297.99
New York,December,9,61,Male,Hostel,15308.75
Cartagena,October,7,42,Female,Airbnb,7166.39
London,March,14,27,Male,Eco-Lodge,30442.79
Honolulu,March,7,54,Male,Villa,18793.64
Rome,August,9,19,Male,Airbnb,6769.64
Auckland,July,15,55,Male,Airbnb,18780.7
Barcelona,November,5,25,Male,Hotel,19606.98
Hoi An,December,5,60,Female,Vacation Rental,43104.79
Dublin,October,12,61,Female,Airbnb,4824.84
Phuket,December,14,48,Female,Resort,39166.77
Copenhagen,October,13,33,Male,Eco-Lodge,19493.6
Phuket,February,8,40,Female,Airbnb,28613.49
Seoul,October,17,25,Female,Villa,25367.91
Amsterdam,March,17,57,Male,Villa,9132.76
Dublin,August,16,50,Male,Hotel,3734.19
London,February,9,38,Female,Resort,38741.48
Bali,April,16,59,Female,Hostel,9340.85
Phuket,July,16,46,Male,Hotel,33578.61
Rome,October,15,32,Male,Airbnb,47278.06
Sydney,August,15,24,Female,Hostel,48292.82
Auckland,August,14,42,Female,Airbnb,7194.3
Seoul,February,16,55,Female,Eco-Lodge,29372.8
Dublin,June,6,23,Male,Hotel,29762.8
Bali,December,14,19,Male,Hostel,4991.15
Tokyo,October,5,63,Male,Airbnb,10977.37
Porto,October,9,31,Male,Resort,20683.72
Marrakech,July,12,33,Female,Eco-Lodge,15598.4
Barcelona,August,16,45,Male,Hotel,40606.25
Cancun,June,5,25,Male,Villa,25615.37
Kathmandu,January,11,28,Male,Villa,13123.91
Seoul,July,5,50,Female,Hotel,37795.1
Luxembourg City,December,12,55,Male,Airbnb,40807.45
Copenhagen,September,12,64,Female,Hotel,37097.97
Hoi An,November,7,60,Male,Villa,7629.66
New York,June,12,55,Male,Eco-Lodge,16913.03
Paris,June,7,23,Male,Airbnb,43326.57
Bali,March,7,59,Female,Airbnb,12105.35
Sydney,November,8,38,Female,Resort,35762.45
London,December,12,32,Male,Hostel,1138.08
Phuket,August,17,49,Male,Eco-Lodge,24062.64
Porto,November,15,30,Male,Eco-Lodge,39211.86
Edinburgh,November,14,56,Male,Resort,8327.33
Phuket,December,13,47,Female,Vacation Rental,24451.53
Auckland,September,15,26,Male,Vacation Rental,20229.77
Barcelona,March,14,24,Female,Resort,5752.66
Bali,December,17,38,Male,Villa,25415.44
Phuket,March,13,51,Male,Hostel,26463.21
Paris,June,11,45,Male,Hostel,43101.82
Copenhagen,November,7,56,Male,Hostel,7841.23
Amsterdam,July,8,65,Female,Hotel,36867.36
Santorini,July,6,57,Male,Vacation Rental,3488.17
Paris,August,14,36,Female,Airbnb,45560.71
Marrakech,July,5,47,Male,Villa,8354.27
Paris,December,5,44,Female,Hostel,35310.34
Sydney,July,15,62,Female,Hotel,44498.74
Bali,August,14,56,Male,Hotel,14380.84
Cape Town,October,18,52,Male,Eco-Lodge,9743.99
Luxembourg City,April,7,41,Female,Resort,12862.3
Rome,December,11,29,Male,Hotel,40799.69
Reykjavik,October,5,42,Female,Vacation Rental,44158.78
Phuket,August,8,41,Male,Vacation Rental,1121.41
Santorini,August,8,44,Male,Vacation Rental,29303.66
Paris,January,17,25,Female,Villa,24207.34
Cairo,November,15,28,Female,Hotel,36745.29
Marrakech,July,12,61,Female,Resort,12248.52
New York,April,5,65,Male,Vacation Rental,31119.88
Dubai,October,17,65,Male,Hostel,33656.85
Reykjavik,March,12,19,Female,Hotel,14419.07
Auckland,January,14,33,Male,Villa,40201.38
Auckland,March,7,31,Female,Hotel,49595.54
Paris,December,14,38,Male,Airbnb,30306.59
Copenhagen,February,17,32,Female,Airbnb,19431.09
Honolulu,November,13,21,Male,Hotel,11604.51
Cancun,June,13,29,Female,Resort,47334.18
Edinburgh,October,7,18,Female,Airbnb,18500.05
Auckland,July,5,35,Male,Resort,22217.35
Tokyo,July,12,18,Female,Airbnb,44585.05
Dubai,June,14,49,Male,Eco-Lodge,46836.13
Edinburgh,May,18,39,Female,Resort,30361.49
New York,May,15,62,Female,Vacation Rental,17473.16
Cairo,July,18,46,Male,Eco-Lodge,44501.12
Reykjavik,January,9,64,Female,Hotel,22316.03
Bali,July,14,33,Female,Villa,10925.94
London,January,11,35,Female,Eco-Lodge,9657.66
Vancouver,December,18,51,Female,Villa,17957.46
Porto,October,9,29,Male,Villa,23369.26
Seoul,January,18,19,Female,Airbnb,32310.63
Cairo,September,12,32,Female,Airbnb,30733.45
Copenhagen,December,17,46,Male,Resort,10526.05
Dublin,March,12,57,Female,Hostel,43978.91
Copenhagen,August,15,18,Female,Villa,3087.4
Rio de Janeiro,August,9,47,Male,Vacation Rental,23283.05
Cape Town,October,9,29,Male,Hotel,41744.55
Paris,February,16,43,Male,Hotel,49867.89
Luxembourg City,August,14,44,Female,Hostel,1178.27
Berlin,October,5,24,Female,Villa,13583.53
London,July,15,42,Male,Hotel,4190.59
Santorini,May,16,56,Male,Hotel,6541.96
Seoul,December,9,18,Female,Hotel,15186.09
Barcelona,November,12,44,Male,Airbnb,16450.17
Rome,March,17,32,Male,Vacation Rental,2453.11
Bali,December,15,27,Male,Hotel,6668.25
Amsterdam,April,13,22,Female,Airbnb,3405.54
Porto,June,18,31,Male,Hotel,42743.18
Bali,January,11,52,Female,Eco-Lodge,49436.12
Vancouver,September,18,63,Female,Villa,12157.95
Santorini,September,9,30,Female,Airbnb,12392.48
Reykjavik,September,6,55,Female,Eco-Lodge,26179.05
Cancun,June,18,64,Male,Villa,47122.3
Vancouver,October,17,50,Male,Villa,1197.08
New York,December,11,54,Male,Hotel,32856.84
Luxembourg City,June,8,61,Female,Airbnb,26065.47
New York,September,9,61,Female,Vacation Rental,7936.38
Dubai,July,5,58,Male,Eco-Lodge,41916.49
Hoi An,January,5,54,Male,Hotel,18288.31
Auckland,April,5,21,Male,Resort,40270.98
Paris,March,5,21,Female,Villa,28510.76
